Package URL,Package Health Value
https://snyk.io/advisor/python/green,Package Health Score 63 / 100
https://snyk.io/advisor/python/holehe,Package Health Score 60 / 100
https://snyk.io/advisor/python/jishaku,Package Health Score 60 / 100
https://snyk.io/advisor/python/python-whois,Package Health Score 60 / 100
https://snyk.io/advisor/python/vk-api,Package Health Score 60 / 100
https://snyk.io/advisor/python/aws-encryption-sdk-cli,Package Health Score 60 / 100
https://snyk.io/advisor/python/chainer,Package Health Score 60 / 100
https://snyk.io/advisor/python/icevision,Package Health Score 60 / 100
https://snyk.io/advisor/python/mxnet-cu80,Package Health Score 57 / 100
https://snyk.io/advisor/python/mxnet-mkl,Package Health Score 60 / 100
https://snyk.io/advisor/python/mxnet-native,Package Health Score 60 / 100
https://snyk.io/advisor/python/optimuspyspark,Package Health Score 60 / 100
https://snyk.io/advisor/python/stable-baselines,Package Health Score 60 / 100
https://snyk.io/advisor/python/tensorflow-tensorboard,Package Health Score 60 / 100
https://snyk.io/advisor/python/clip-interrogator,Package Health Score 60 / 100
https://snyk.io/advisor/python/daiquiri,Package Health Score 60 / 100
https://snyk.io/advisor/python/django-bitfield,Package Health Score 59 / 100
https://snyk.io/advisor/python/django-rest-passwordreset,Package Health Score 60 / 100
https://snyk.io/advisor/python/django-session-security,Package Health Score 60 / 100
https://snyk.io/advisor/python/0x-contract-wrappers,Package Health Score 60 / 100
https://snyk.io/advisor/python/0x-order-utils,Package Health Score 60 / 100
https://snyk.io/advisor/python/asgi-redis,Package Health Score 60 / 100
https://snyk.io/advisor/python/aws-secretsmanager-caching,Package Health Score 64 / 100
https://snyk.io/advisor/python/bert-tensorflow,Package Health Score 60 / 100
https://snyk.io/advisor/python/betamax,Package Health Score 60 / 100
https://snyk.io/advisor/python/betamax-serializers,Package Health Score 60 / 100
https://snyk.io/advisor/python/bitmath,Package Health Score 60 / 100
https://snyk.io/advisor/python/cefpython3,Package Health Score 60 / 100
https://snyk.io/advisor/python/codemod,Package Health Score 60 / 100
https://snyk.io/advisor/python/django-bootstrap-v5,Package Health Score 60 / 100
https://snyk.io/advisor/python/edgegpt,Package Health Score 57 / 100
https://snyk.io/advisor/python/etcd3,Package Health Score 60 / 100
https://snyk.io/advisor/python/flask-profiler,Package Health Score 60 / 100
https://snyk.io/advisor/python/geomdl,Package Health Score 60 / 100
https://snyk.io/advisor/python/gherkin-official,Package Health Score 60 / 100
https://snyk.io/advisor/python/gino,Package Health Score 64 / 100
https://snyk.io/advisor/python/gnupg,Package Health Score 64 / 100
https://snyk.io/advisor/python/labelimg,Package Health Score 60 / 100
https://snyk.io/advisor/python/mapbox,Package Health Score 60 / 100
https://snyk.io/advisor/python/marshmallow-jsonschema,Package Health Score 60 / 100
https://snyk.io/advisor/python/mattermostdriver,Package Health Score 60 / 100
https://snyk.io/advisor/python/opencensus-proto,Package Health Score 60 / 100
https://snyk.io/advisor/python/pyshorteners,Package Health Score 60 / 100
https://snyk.io/advisor/python/sodapy,Package Health Score 60 / 100
https://snyk.io/advisor/python/sqlalchemy-hana,Package Health Score 63 / 100
